Site Name,Neighborhood,Address,City,State,Zip Code,Type of Historic Resource,Date Built / Architect
Philadelphia Stock Exchange,Center City,1409 Walnut St.,Philadelphia,PA,19102,stock exchange,"1911, 1927, Horace Trumbauer (Julian Abele)"
All-Wars Memorial to Black Soldiers,Center City,19th and the Parkway,Philadelphia,PA,19103,monument,"1934, J. Otto Schweizer"
P.J. Augustine Restaurant,Center City,1105 Walnut St.,Philadelphia,PA,19107,restaurant,"ca. 1901, J. Stuckert"
Christ Church,Center City,20 N. American St.,Philadelphia,PA,19106,church,"1727-1754, John Kearsley; numerous alterations"
Shiloh Baptist Church #2 / Church of the Ascension,Center City,1112-1120 Lombard St.,Philadelphia,PA,19147,church,"ca. 1836; alterations, 1846-1850, John Notman; alterations, 1900, Isaac Pursell; extensive alterations for secular use"
Philadelphia Knights of Pythias,Center City,19th and Addison Sts.,Philadelphia,PA,19146,,"1923, Lackman & Murphy"
Arch Street Friends Meeting House,Center City,302-338 Arch St.,Philadelphia,PA,19106,church,"1804, O. Biddle"
Engine 11 Fire Station,Center City,1016-18 South St.,Philadelphia,PA,19147,fire station,"ca. 1902, Philip Johnson"
Standard Theater,Center City,1124-8 South St.,Philadelphia,PA,19147,theater,"alterations, 1889, Rowe & Dagit; alterations, 1892, A. Wade"
"Allen Chapel / Phillips Brooks Chapel / ""St. Phillip's Church""",Center City,1923-27 Lombard St.,Philadelphia,PA,19146,church,"ca. 1873; substantial alterations or re-building, ca. 1930, Thomas Early"
St. Peter Claver Roman Catholic Church / Fourth Presbyterian Church,Center City,1200-1210 Lombard St.,Philadelphia,PA,19147,church,"1841-1842, Thomas Ustick Walter; alterations and rectory, 1895, E. F. Durang"
Grand United Order of Odd Fellows,Center City,1201 Spruce St.,Philadelphia,PA,19107,office building,"1906, Watson & Huckel"
Central Presbyterian Church / Lombard Street Central Presbyterian Church Building #1,Center City,832-836 Lombard St.,Philadelphia,PA,19147,church,"ca. 1845, William L. Johnston"
St. Paul Church / Mask and Wig Club,Center City,312 S. Quince St.,Philadelphia,PA,19107,church,"ca. 1834; alterations, 1843-1853; alterations, 1894, 1903, Wilson Eyre"
A. M. E. Book Concern,Center City,631 Pine St.,Philadelphia,PA,19106,,
African Episcopal Church of St. Thomas Site #1,Center City,5th St. and St. James St.,Philadelphia,PA,19106,church,ca. 1794
Afro-American Insurance Company,Center City,"159, 529 Lombard St.",Philadelphia,PA,19147,,
Armstrong Association of Philadelphia,Center City,1508 Lombard St.,Philadelphia,PA,19146,,ca. 1860
Association Hall,Center City,15th and Chestnut Sts.,Philadelphia,PA,19102,hall,
Augustine Society Seminary,Center City,6th and Addison Sts.,Philadelphia,PA,19147,school,
Beneficial Hall,Center City,600 block Lombard St.,Philadelphia,PA,19147,hall,
Benezet's School / Quaker African School House,Center City,Willings Alley,Philadelphia,PA,19106,school,
Benjamin Banneker Institute,Center City,409 S. 11th St.,Philadelphia,PA,19147,,
Bethel Home for Fallen Women,Center City,near 6th and Lombard Sts.,Philadelphia,PA,19147,,
Broad Street USO / Stage Door Canteen,Center City,500 S. Broad St.,Philadelphia,PA,19146,,
Brown and Stevens Bank,Center City,Broad and Lombard Sts.,Philadelphia,PA,19147,bank,
"C. Henry Wilson, II Office",Center City,1130 Lombard St.,Philadelphia,PA,19147,office building,
California House,Center City,6th and Lombard Sts.,Philadelphia,PA,19147,"hotel, tavern",
Central Baptist Church Building / Pitman M.E. Church Building Site,Center City,409 S. 23rd St.,Philadelphia,PA,19146,church,
Citizens and Southern Bank,Center City,1849 South St.,Philadelphia,PA,19146,bank,
Citizens Republican Club,Center City,422 S. 15th St.,Philadelphia,PA,19146,,
College Settlement / W. E. B. DuBois House,Center City,617 Rodman St.,Philadelphia,PA,19147,settlement house,
Colored Industrial School,Center City,20th below Walnut St.,Philadelphia,PA,,school,
Cyrus Bustill Business,Center City,210 Arch St.,Philadelphia,PA,19106,bakery,
Douglass Hotel (Billie Holiday Residence),Center City,1409-1411 Lombard St.,Philadelphia,PA,19146,hotel,1926
Dunbar Theater / Lincoln Theater,Center City,Broad and Lombard Streets.,Philadelphia,PA,19146,theater,
Dutrieuille Catering,Center City,108 S. 18th St.,Philadelphia,PA,19103,caterer,
Elizabeth Taylor Greenfield Studio,Center City,1013 Rodman St.,Philadelphia,PA,19147,,
Female Anti-Slavery Society,Center City,107 N. 5th St.,Philadelphia,PA,19106,,
First African Baptist Church Cemetery,Center City,8th and Vine Sts.,Philadelphia,PA,19106,cemetery,1796
First African Baptist Church Site #2 / Cherry Street Baptist Church / Cherry Memorial Baptist Church,Center City,1025-1027 Cherry St.,Philadelphia,PA,19107,church,
Forten School,Center City,6th and Addison Sts.,Philadelphia,PA,19147,school,
"Francis ""Frank"" Johnson House",Center City,536 Pine St.,Philadelphia,PA,19106,dwelling,
Fraunces Tavern,Center City,310 S. 2nd St.,Philadelphia,PA,19106,tavern,
Frederick Douglass Memorial Hospital,Center City,1512 or 1522 Lombard St.,Philadelphia,PA,19146,hospital,
Free African Society,Center City,6th and Lombard Sts.,Philadelphia,PA,19147,,
George Burrell House,Center City,1309 Lombard St.,Philadelphia,PA,19147,dwelling,
George White House,Center City,1118 Rodman St,Philadelphia,PA,19147,dwelling,
Gertrude E. H. Bustill Mossell House,Center City,1423 Lombard St.,Philadelphia,PA,19146,dwelling,
Gil Ball Saloon,Center City,700 or 720 Lombard St.,Philadelphia,PA,19107,tavern,
Gilbert Lyceum,Center City,,Philadelphia,PA,,lyceum,
Grace Church Site,Center City,1518-1520 Lombard St.,Philadelphia,PA,19146,church,
Grendel's Lair,Center City,500 South St.,Philadelphia,PA,19147,,
Henry Black House,Center City,612 Delancey St.,Philadelphia,PA,19106,dwelling,
Historic St. George's Methodist Church,Center City,235 N. 4th St.,Philadelphia,PA,19106,church,"1767, 1812"
Home for the Homeless,Center City,708 Lombard St.,Philadelphia,PA,19147,,
J. M. Palmer Memorial A.M.E.,Center City,22nd at South St.,Philadelphia,PA,19146,church,
Jackson's Manufactory,Center City,Walnut above 10th St.,Philadelphia,PA,19107,caterer,
"Jacob C. White, Jr. House",Center City,1032 Lombard St.,Philadelphia,PA,19147,dwelling,
"James Forten, Sr. House / Charlotte Forten House",Center City,336 Lombard St.,Philadelphia,PA,19147,dwelling,
Jean Pierre Burr House,Center City,5th and Spruce Sts.,Philadelphia,PA,19106,dwelling,
John W. Simpson House,Center City,420 S. 7th St.,Philadelphia,PA,19147,dwelling,ca. 1803
Joseph & Amy Cassey House,Center City,"S 4th St., between Chestnut and Market Sts.",Philadelphia,PA,19106,dwelling,
Liberation of Jane Johnson,Center City,211 S. Columbus Blvd.,Philadelphia,PA,19106,,
Liberty Bell,Center City,Independence Mall,Philadelphia,PA,19106,bell,
Liberty Hall,Center City,715-717 Lombard St.,Philadelphia,PA,19147,hall,
Lombard Street Riot,Center City,6th & Lombard,Philadelphia,PA,19147,,n/a
Mayor Richardson Dilworth House,Center City,223-225 S. 6th St.,Philadelphia,PA,19106,dwelling,
Meta V. Warrick Fuller House,Center City,254 S. 12th St.,Philadelphia,PA,19107,dwelling,ca. 1840
Octavia Hill Association,Center City,619 South St.,Philadelphia,PA,19147,,ca. 1850-1880
Octavius V. Catto House Site,Center City,814 South St.,Philadelphia,PA,19147,dwelling,demolished ca. 1990
Octavius V. Catto School Building #2,Center City,2028-2038 Lombard St.,Philadelphia,PA,19146,school,
ODUNDE Festival,Center City,23rd and South Sts.,Philadelphia,PA,19146,,
Ohio Street School / Colored Unclassified School / Octavius V. Catto School Site #1,Center City,South St. above 10th,Philadelphia,PA,19147,school,
Old St. Joseph's Church,Center City,321 Willings Alley,Philadelphia,PA,19106,church,"ca. 1839; alterations 1851, 1894"
Pennsylvania Abolition Society,Center City,"Front St., below Chestnut St.",Philadelphia,PA,19106,,
Pennsylvania Hall,Center City,6th and Haines Sts.,Philadelphia,PA,,hall,1838; burned 1838
Philadelphia International Records,Center City,309 S. Broad St. #1,Philadelphia,PA,19107,,
Philadelphia Pittsburgh Courier Offices,Center City,532 S. 15th St.,Philadelphia,PA,19146,,
Philadelphia Tribune,Center City,522 S. 16th St.,Philadelphia,PA,19146,newspaper,
Public Market / Market House,Center City,Market St. (Front to 9th Sts.),Philadelphia,PA,,market,
Public Markets,Center City,N. 2nd St.,Philadelphia,PA,,market,
Public Markets,Center City,S. 11th St.,Philadelphia,PA,,market,
Public Markets,Center City,South St.,Philadelphia,PA,,market,
Raspberry Street School,Center City,S. Hutchinson St.,Philadelphia,PA,19107,school,
Ritz-Carlton Hotel / Girard Trust Company Building,Center City,28-48 S. Broad St.,Philadelphia,PA,19102,"hotel, office building",
Robert Bogle Catering Establishment,Center City,112 S. 8th St.,Philadelphia,PA,19107,caterer,
Robert Mara Adger House,Center City,823 South St.,Philadelphia,PA,19147,dwelling,
Robert Morris House / President's House,Center City,526-530 Market St.,Philadelphia,PA,19106,dwelling,1767; rebuilt in 1781 after a fire; demolished 1833
Second African Presbyterian Church,Center City,619-631 Rodman St.,Philadelphia,PA,19147,church,
Sigma Sound Recording Studios,Center City,212 N. 12th St.,Philadelphia,PA,19107,,
St. Mark A.M.E. Church,Center City,19th below Lombard St.,Philadelphia,PA,19146,church,
St. Mary's Mission for Colored People,Center City,1623-9 Lombard St.,Philadelphia,PA,19146,,
St. Stephen A.M.E. Church,Center City,9th and Lombard Sts.,Philadelphia,PA,19147,church,
Starr Park / Kitchens,Center City,6th and Lombard Sts.,Philadelphia,PA,19147,,
Thaddeus Kosciuszko House / Kosciuszko National Memorial,Center City,301-303 Pine St.,Philadelphia,PA,19106,dwelling,1750-1780
The African American Museum in Philadelphia,Center City,701 Arch St.,Philadelphia,PA,19106,museum,ca. 1976
Thomas J. Dorsey House,Center City,1231 Locust St.,Philadelphia,PA,19107,dwelling,ca. 1840; demolished 1989
Union Baptist Church Site,Center City,"600 block Addison St., south side, mid-block",Philadelphia,PA,19147,church,
"Union Methodist (""Little Union"") Church Site",Center City,632 Addison St.,Philadelphia,PA,19147,church,
"Wesley (""Little"" Wesley) Church Site",Center City,515-519 S. Randolph St.,Philadelphia,PA,19147,church,
Wesley A.M.E. Zion Church,Center City,1500-1504 Lombard St.,Philadelphia,PA,19146,church,"1925, 1926"
Wesley A.M.E. Zion Church Site,Center City,521-527 Lombard St.,Philadelphia,PA,19147,church,
William Dorsey House,Center City,206 S. Camac St.,Philadelphia,PA,19107,dwelling,
William J. Robinson Office,Center City,1520 Lombard St.,Philadelphia,PA,19146,office building,
William Minton House,Center City,1100 Rodman St.,Philadelphia,PA,19147,dwelling,
William S. Whipper House,Center City,919 Lombard St.,Philadelphia,PA,19147,dwelling,
William Still House,Center City,244 S. 12th St.,Philadelphia,PA,19107,dwelling,
YMCA,Center City,12th and Lombard Sts.,Philadelphia,PA,19147,young men's Christian association,
Eden Cemetery,Delaware County,1434 Springfield Rd.,Collingdale,PA,19023,cemetery,1902
Sun Shipbuilding Company,Delaware County,PA-291 and Harrah's Blvd.,Chester,PA,19013,,1916
Stenton,North,4601 N. 18th St.,Philadelphia,PA,19140,"dwelling, museum","1728, James Logan"
Mount Tabor A.M.E. Church / Second Baptist Church,North,961-971 N. 7th St.,Philadelphia,PA,19123,church,Addison Hutton
St. Paul Church / Christ Evangelical Church Building,North,948-952 N. 8th St.,Philadelphia,PA,19123,church,"before 1875; alterations, 1910, Benjamin Rush Stevens"
Pyramid Temple No. 1 Prince Hall,North,1521-1523 W. Girard Ave.,Philadelphia,PA,19130,masonic building,"ca. 1921-1924, Carl Berger"
The Legendary Blue Horizon,North,1314 N. Broad St.,Philadelphia,PA,19121,"clubhouse, dwelling, hall","ca. 1865, Carl P. Berger"
Zoar United Methodist Church,North,1204 Melon St.,Philadelphia,PA,19123,church,"1883; alterations, 1925-1926, Charles Gilmore"
Church of the Advocate,North,1801 W. Diamond St.,Philadelphia,PA,19121,church,"1891, 1897,  Charles M. Burns"
North Penn Baptist Church,North,2419-2425 N. 27th St.,Philadelphia,PA,19132,church,"ca. 1911, Charles Wells"
Greater Exodus Baptist Church / Our Lady of Blessed Sacrament / Central Presbyterian Church,North,708-714 N. Broad St.,Philadelphia,PA,19130,church,"ca. 1877, Collins Autenreith"
Uptown Theater,North,2240 N. Broad St.,Philadelphia,PA,19132,theater,"1927, 1929, E. Magiziner, H. Magiziner"
Morris Brown A.M.E. Church / Bethany Lutheran Church,North,1754-1756 N. 25th St.,Philadelphia,PA,19121,church,"1885, Frank Miller"
St. Augustine Church of the Covenant,North,2701 W. Girard Ave.,Philadelphia,PA,19130,church,"1888, Frank Watson"
Richard Allen Homes,North,"10th-12th, Fairmount-Poplar",Philadelphia,PA,19123,housing development,"1939-1941, George Ignatius Lovatt, Sr., John Sinkler; demolished and replaced with lower-density housing"
Jones Tabernacle A.M.E. Church / Union Methodist Episcopal Church,North,2019 W. Diamond St.,Philadelphia,PA,19121,church,"1888, Hazelhurst & Huckel"
Nazarene Baptist Church Building #1,North,1462 W. Lycoming St.,Philadelphia,PA,19140,church,"1916-1917, Henry Dehoff"
North Broad Street Station,North,2545-2599 N. Broad St.,Philadelphia,PA,19132,railroad station,"1928, Horace Trumbauer (Julian Abele)"
Peter A. B. Widener Mausoleum (Laurel Hill Cemetery),North,3822 Ridge Ave.,Philadelphia,PA,19132,mausoleum,"mausoleum ca. 1915, Horace Trumbauer (Julian Abele)"
Philadelphia Museum of Art,North,2600 Benjamin Franklin Parkway,Philadelphia,PA,19130,museum,"1919, Horace Trumbauer (Julian Abele)"
Philadelphia YMCA (North Branch),North,1007 W. Lehigh Ave.,Philadelphia,PA,19133,young men's Christian association,"ca. 1912, Horace Trumbauer (Julian Abele)"
Ebenezer Baptist Church Building,North,2259 N. 10th St.,Philadelphia,PA,19133,church,"1904, Isaac Pursell"
Philadelphia Manual Training School,North,17th and Wood Sts.,Philadelphia,PA,19103,school,"1868, James Charles Sidney; alterations, 1886, 1895"
New Apostolic Church of North America,North,K & E. Cayuga Sts.,Philadelphia,PA,19124,church,James Plater
Supreme Liberty Life Insurance Office,North,1637 N. Broad St.,Philadelphia,PA,19122,,"ca. 1949, James Plater"
U.S. Post Office (Philadelphia),North,Germantown Ave. and Luzerne St.,Philadelphia,PA,19140,post office,James Plater
United Sports Club,North,22nd and Clearfield St.,Philadelphia,PA,19132,,"ca. 1940, James Plater"
Nazarene Baptist Church Building #2,North,3975 Germantown Ave.,Philadelphia,PA,19140,church,"1994-1996, Madison Design Group"
Miller Memorial Baptist Church,North,1518 N. 22nd St.,Philadelphia,PA,19121,church,"1923-1926, Neely & Martin"
Wayland Temple Baptist Church / Columbia Avenue Methodist Church,North,2500 Cecil B. Moore Ave.,Philadelphia,PA,19121,church,"1888, Oscar Frotscher; alterations, 1916, George Savage"
B.M. Oakley Memorial Temple / Trinity Reformed Church,North,1535 N. 7th St.,Philadelphia,PA,19122,church,"1869, Samuel Sloan"
Zion Baptist Church / St. Paul Reformed Church / Trinity Reformed Church,North,3600 N. Broad St.,Philadelphia,PA,19140,church,"1904, Stearns & Castor; alterations, 1914, Stearns & Castor; alterations, 1973, Eshbach, Glass, Kale & Associates"
Freedom Theatre,North,1346 N. Broad St.,Philadelphia,PA,19121,theater,"1853, 1865; Stephen D. Button"
St. Paul Baptist Church / First Reformed Church Building,North,1000 Wallace St.,Philadelphia,PA,19123,church,"before 1888; alterations, 1916, 1920, 1929, Stuckert & Co."
Berean Presbyterian Church Site / Berean Institute,North,1906-1926 S. College Ave.,Philadelphia,PA,19121,church,"1884; 1888, T. P. Chandler"
Berean Presbyterian Church / Bethlehem Presbyterian Church,North,2101 N. Broad St.,Philadelphia,PA,19122,church,"1888, T. P. Chandler; alterations, 1909, 1910, 1915, J. Franklin Stuckert"
Universal Negro Improvement Association (UNIA),North,1609-11 Cecil B. Moore Ave.,Philadelphia,PA,19121,,"ca. 1894, Thomas Lonsdale"
Girard College,North,2101 S. College Ave.,Philadelphia,PA,19121,school,"1833, Thomas Ustick Walter; 1968"
Union A.M.E. Church / Hedding M. E. Church / Calvary Baptist Church,North,655 N. 16th St.,Philadelphia,PA,19130,church,"before 1859; alterations, 1902, Watson & Huckel; alterations, 1906, C. Davis"
Unity Mission / Charles T. Ellis House,North,1430 N. Broad St.,Philadelphia,PA,19121,dwelling,"ca. 1891, William Decker"
Metropolitan Opera House,North,848-860 N. Broad St.,Philadelphia,PA,19130,"opera house, church","1908, William McElfatrick"
Shibe Park / Connie Mack Stadium,North,2701 N. 21st St.,Philadelphia,PA,19132,stadium,"1908-1909, William Steele & Sons Co.; numerous alterations; demolished 1976"
Divine Lorraine Hotel,North,699 N. Broad St.,Philadelphia,PA,19123,"hotel, apartment building","1894, Willis G. Hale"
Antioch Baptist Church,North,1625 W. Thompson St.,Philadelphia,PA,19121,church,
Aspiranto Health Home,North,2104 W. Jefferson St.,Philadelphia,PA,19121,"clinic, dwelling",
Baker Bowl,North,N. Broad and W. Lehigh Ave.,Philadelphia,PA,19132,stadium,1887; demolished 1950
Berean Baptist Church #2,North,2425 W. Indiana Ave.,Philadelphia,PA,19132,church,
Black Panthers Headquarters,North,1928 Cecil B. Moore Ave.,Philadelphia,PA,19121,,
Cyrus Bustill House,North,near 3rd and Green Sts.,Philadelphia,PA,19123,dwelling,
David Bustill Bowser House,North,841 N. 4th St.,Philadelphia,PA,19123,dwelling,
Ebenezer Baptist Church Site #1,North,1330 Mt. Vernon St.,Philadelphia,PA,19123,church,
Ebenezer Baptist Church Site #2,North,1248 N. 12th St.,Philadelphia,PA,19122,church,
Ebenezer Don Carlos Bassett House,North,2121 N. 29th St.,Philadelphia,PA,19121,dwelling,
Emmanuel A.M.E. Church / Temple A.M.E. Church / Trinity A.M.E. Church,North,2416-2418 W. York Ave.,Philadelphia,PA,19132,church,
Fair Hill Burial Ground,North,2901 Germantown Ave.,Philadelphia,PA,19133,cemetery,1842
Fellowship House,North,1431 Brown St.,Philadelphia,PA,19130,,
Fifth Baptist Church / Highway Tabernacle,North,1801 Spring Garden St.,Philadelphia,PA,19130,church,1859-1864
First African Baptist Church Site #1,North,1029-1033 Pearl St.,Philadelphia,PA,19107,church,
Grace A.M.E. Zion Church Site,North,1004 W. Montgomery Ave.,Philadelphia,PA,19122,church,
Gratz High (Roy Campanella),North,1798 W. Hunting Park Ave.,Philadelphia,PA,19140,,"ca. 1927; addition, 1967"
Haven Memorial Church,North,2301-2311 W. Oxford St.,Philadelphia,PA,19121,church,ca. late 1950s - early 1960s
Haven Mission Church Site #1,North,1511 N. 26th St.,Philadelphia,PA,19121,church,before 1887
Heard Church,North,10th and York Ave.,Philadelphia,PA,19133,church,
Henry Ossawa Tanner House,North,2908 W. Diamond St.,Philadelphia,PA,19121,dwelling,ca. 1871
Holsey C.M.E. Church Site,North,near Hunting Park Ave. and Broad St.,Philadelphia,PA,19140,church,
Holy Tabernacle Church,North,1608-1610 W. Thompson St.,Philadelphia,PA,19121,church,ca. 1918
James Bland House,North,1012 Wood St.,Philadelphia,PA,19107,dwelling,
Jessie Redmon Fauset House,North,1853 N. 17th St.,Philadelphia,PA,19121,dwelling,ca. 1885
Joe Frazier Gym,North,2917 N. Broad St.,Philadelphia,PA,19132,gym,
John W. Coltrane House,North,1511 N. 33rd St.,Philadelphia,PA,19121,dwelling,1895
Joseph Singerly School / Douglass-Singerly School,North,2118 W. Norris St.,Philadelphia,PA,19121,school,"1891; annex building, 1938; original building destroyed by fire in 1962"
"Kappa Alpha Psi Fraternity, Inc. Headquarters",North,2322 N. Broad St.,Philadelphia,PA,19132,fraternity,
Little Hope Church,North,16th and Parrish Sts.,Philadelphia,PA,19130,church,
Midvale Steel Works,North,Roberts Ave. and Wissahickon Ave.,Philadelphia,PA,19144,factory,
Miller Memorial Baptist Church / Enon Baptist Church / Second Shiloh Baptist Church,North,1433 N. 21st St.,Philadelphia,PA,19121,church,ca. 1907
Morris Brown Mission A.M.E. Church / First Immanuel Baptist Church,North,2434-2438 Ridge Ave.,Philadelphia,PA,19121,church,
Mother Catherine Church,North,Broad St. and Fairmount,Philadelphia,PA,19130,church,
Mount Nebo A.M.E. Church / Mount Calvary Baptist Church,North,1018 W. York Ave.,Philadelphia,PA,19133,church,
Mount Tabor Church,North,1315 W. Master St.,Philadelphia,PA,19122,church,
Negro People's Theater of Philadelphia,North,311 N. 16th St.,Philadelphia,PA,19102,,
Negro Trade Union Leadership Council,North,2825 N. Broad St.,Philadelphia,PA,19132,,
Opportunities Industrialization Centers (OIC),North,19th and Oxford Sts.,Philadelphia,PA,19121,,
Pearl Bailey House,North,1946 N. 23rd St.,Philadelphia,PA,19121,dwelling,ca. 1884-1886
Pearl Theater,North,2047-59 Ridge Ave.,Philadelphia,PA,19121,theater,1927
Philadelphia Doll Museum,North,2253 N. Broad St.,Philadelphia,PA,19132,museum,
Prince Hall Grand Lodge of Pennsylvania (Masonic Hall),North,4301 N. Broad St.,Philadelphia,PA,19140,masonic building,
Public Markets,North,Callowhill St.,Philadelphia,PA,,market,
Public Markets,North,Spring Garden St.,Philadelphia,PA,,market,
Pyramid Club,North,1517 W. Girard Ave.,Philadelphia,PA,19130,,
Raymond Pace Alexander / Cecil B. Moore House,North,1708 Jefferson St.,Philadelphia,PA,19121,dwelling,ca. 1885
Roberts Vaux School,North,1100 block of Wood St.,Philadelphia,PA,19107,school,
Second Baptist Church of Nicetown / Mt. Carmel M. E. Church,North,3837 Germantown Ave.,Philadelphia,PA,19140,church,
Sister Rosetta Tharpe House,North,1102 W. Master St.,Philadelphia,PA,19122,dwelling,ca. 1951-1952
St. Augustine Mission,North,"transitory locations, 2109 N. Broad St., Thompson above 16th, Co",Philadelphia,PA,,church,
Union Mission A.M.E. Church Site,North,444 Fairmount Ave.,Philadelphia,PA,19123,church,
Unity Mission Bible Institute,North,1530 N. 16th St.,Philadelphia,PA,19121,dwelling,ca. 1876-1883
Walters Memorial Church,North,N. 10th St. above Girard Ave.,Philadelphia,PA,19122,church,
Wayland Church Site #1,North,680 N. Broad St.,Philadelphia,PA,19130,church,
Wayland Church Site #2,North,23rd and W. Jefferson Sts.,Philadelphia,PA,19121,church,
Wharton Centre,North,1704-1712 N. 22nd St.,Philadelphia,PA,19121,settlement house,
York Street Baptist Church,North,York at 28th St.,Philadelphia,PA,19132,church,
Zion Baptist Church Building #1 / Bethany A.M.E. Church,North,1525-1529 Brandywine St.,Philadelphia,PA,19130,church,ca. 1887
Zion Baptist Church Site,North,658-664 N. 13th St.,Philadelphia,PA,19123,church,
Zoar Methodist Church Site,North,409 Brown St.,Philadelphia,PA,19123,church,
Bethany A.M.E. Church,Northeast,8820 Ashton Rd.,Philadelphia,PA,19136,church,"early 19th century; Elias Chase, builder"
Beneficial Savings Bank (Kensington Branch),Northeast,826 E. Allegheny Ave.,Philadelphia,PA,19134,bank,"ca. 1923, Horace Trumbauer (Julian Abele)"
Episcopal Hospital / Temple University Hospital Episcopal Campus,Northeast,100 E. Lehigh Ave.,Philadelphia,PA,19125,hospital,"ca. 1933, Horace Trumbauer (Julian Abele)"
James Grady House,Northeast,4615 Aubrey St.,Philadelphia,PA,19114,dwelling,"ca. 1948, James Plater"
Wilmot Public School,Northeast,1734 Meadow St.,Philadelphia,PA,19124,school,"1874, Lewis Esler"
Greenbelt Knoll,Northeast,Longford St. and Holme Ave.,Philadelphia,PA,19136,housing development,"1956, Montgomery & Bishop"
Mount Zion Baptist Church Building,Northeast,8101 Erdrick St.,Philadelphia,PA,19136,church,"1923, Neely & Martin; 1972, architect unknown"
Second Baptist Church (Frankford),Northeast,1801 Meadow St.,Philadelphia,PA,19124,church,"ca. 1910; enlarged in 1923, William L. Charr"
Campbell A.M.E. Church / African M.E. Church of Frankford,Northeast,1651-1661 Kinsey St.,Philadelphia,PA,19124,church,1870
Disney A.M.E. Church,Northeast,Collins St. at E. Westmoreland St.,Philadelphia,PA,19134,church,
Mount Zion Baptist Church Site,Northeast,Rowland Ave. near Welsh Rd. (precise location undetermined),Philadelphia,PA,19136,church,
Robert Purvis Estate,Northeast,Byberry and Thornton Roads,Philadelphia,PA,19154,dwelling,ca. 1770
St. Thomas Methodist Church (Frankford),Northeast,4701 Tackawanna St.,Philadelphia,PA,19124,church,ca. 1910
Trinity A.M.E. Zion Church Site,Northeast,4712 Duffield St.,Philadelphia,PA,19124,church,
St. Catherine of Sienna,Northwest,438-444 W. Penn St.,Philadelphia,PA,19144,church,"ca. 1915, C. Cummiskey"
Janes Methodist Church Building,Northwest,47-51 E. Haines St.,Philadelphia,PA,19144,church,"1928, Charles Parker"
Enon Tabernacle Baptist Church Building,Northwest,230 W. Coulter St.,Philadelphia,PA,19144,church,"1914, Charles Wilson"
Mount Zion Baptist Church of Germantown,Northwest,41 W. Rittenhouse St.,Philadelphia,PA,19144,church,"1894, David S. Gendell"
Germantown Historical Society / Fromberger House,Northwest,5501-5505 Germantown Ave.,Philadelphia,PA,19144,"dwelling, young women's christian association, church, office building","ca. 1795-96; enlarged 1917; renovated after fire, 1930; rehabbed, 1952-54, G. Edwin"
Northern Home for Children,Northwest,5301 Ridge Ave.,Philadelphia,PA,19128,,"alterations, 1927, Horace Trumbauer (Julian Abele)"
Grace Baptist Church Building #1,Northwest,34-36 E. Sharpnack St.,Philadelphia,PA,19119,church,"1908, Jacob Naschold"
Coulter Street School site / Daniel L. Keyser School / Wissahickon Boys and Girls Club,Northwest,328 W. Coulter St.,Philadelphia,PA,19144,school,"ca. 1887-1899, Joseph Anshutz"
Galilee Baptist Church Building,Northwest,457 Roxborough Ave.,Philadelphia,PA,19128,church,"1900, Kennedy & Kelsey"
